Jugador,Puesto,Equipo,Cotización (mill.),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Acumulado,Promedio
"Ramírez, Rubén",DEL,COL,8800000,6,0,0,0,8,5,9,2,0,2,5,0,5,0,4,46,5.11
"Ruiz, Alan",VOL,SLO,2500000,0,0,0,0,0,0,0,6,4,5,5,13,2,4,6,45,5.63
"Ferrari, Jonathan",DEF,ALB,2800000,0,0,0,0,0,0,0,5,5,5,8,8,7,1,6,45,5.63
"Maggiolo, Ezequiel",DEL,TIG,4400000,2,5,4,4,2,4,9,0,4,0,5,0,3,0,3,45,4.09
"Castillejos, Gonzalo",DEL,LAN,4500000,3,4,6,8,5,1,4,5,4,0,0,0,0,0,5,45,4.5
"Figueroa, Víctor",VOL,NOB,4600000,5,6,5,4,5,4,0,0,0,0,5,6,5,0,0,45,5
"Rodríguez, Sergio",DEF,BEL,2600000,5,7,2,7,1,0,0,0,0,15,0,0,0,7,0,44,6.29
"Gelabert, Marcos",VOL,EST,2900000,0,0,3,5,3,6,3,3,5,0,0,0,5,5,6,44,4.4
"Ferreira, Diego",VOL,TIG,3000000,0,5,5,5,4,4,0,0,5,3,3,0,5,0,5,44,4.4
"Díaz, Leandro J.",VOL,QUI,3400000,0,6,5,4,5,0,5,0,0,0,3,4,5,2,5,44,4.4
"Vargas, Fabián",VOL,IND,5200000,0,5,4,1,0,0,6,5,4,7,3,0,0,4,5,44,4.4
"Sand, José",DEL,RAC,8200000,-5,5,15,4,4,1,3,3,0,0,5,0,5,4,0,44,4
"Núñez, Leonel",DEL,ARG,3700000,0,0,6,11,6,6,5,5,0,0,4,0,0,0,0,43,6.14
"Paparatto, Norberto",DEF,TIG,2900000,5,5,2,0,0,0,0,3,8,6,6,0,5,0,2,42,4.67
"Mirabaje, Matias",VOL,SLO,3100000,0,0,0,0,0,6,3,4,4,4,4,6,11,0,0,42,5.25
"González Pirez, Leandro",DEF,RIV,3500000,5,7,4,6,0,0,0,0,8,5,1,2,0,0,4,42,4.67
"Cerro, Francisco",VOL,VEL,3700000,4,0,0,18,0,0,0,0,0,5,1,7,0,4,3,42,5.25
"Caffa, Juan P.",VOL,ARS,3800000,0,3,4,0,12,4,0,0,0,4,0,5,5,5,0,42,5.25
"Quiroga, Facundo",DEF,ALB,3900000,3,5,5,5,5,4,5,0,0,3,7,0,0,0,0,42,4.67
