"Brítez, Emanuel",DEF,UNI,700000,4,0,0,6,3,4,3,5,5,6,0,6,5,47,4.7
"Romero, Lucas",VOL,VEL,2400000,0,5,6,7,7,3,3,0,0,0,0,0,16,47,6.71
"Pelletieri, Agustín",VOL,RAC,4800000,4,13,5,2,6,0,0,0,0,0,5,5,7,47,5.88
"Sosa, Sebastián",ARQ,VEL,5000000,10,3,0,9,0,5,9,2,0,1,0,8,0,47,5.88
"Ledesma, Eduardo",VOL,GOD,3300000,5,5,5,5,6,5,5,0,5,5,0,0,0,46,5.11
"Nervo, Hugo M.",DEF,ARS,4000000,2,6,0,0,0,0,5,7,5,5,3,8,5,46,5.11
"Ardente, Luis",ARQ,SMJ,4000000,7,4,4,2,0,0,0,9,5,3,5,3,4,46,4.6
"Nagüel, Santiago",VOL,ARG,3000000,0,5,0,6,5,5,0,5,0,5,4,5,5,45,5
"Insúa, Emanuel",DEF,GOD,3000000,3,0,0,7,8,4,5,8,6,0,4,0,0,45,5
"Serrano, Walter",VOL,ATR,3500000,3,5,4,2,4,0,0,2,6,6,7,3,3,45,4.09
"Orban, Lucas",DEF,TIG,3800000,6,6,6,6,7,5,3,0,0,0,0,6,0,45,5.63
"Matellán, Aníbal",DEF,ARG,3900000,4,5,5,2,0,6,4,6,8,0,0,0,5,45,4.5
"Grazzini, Sebastián",VOL,ATR,4200000,9,5,5,0,5,7,6,4,4,0,0,0,0,45,5.63
"Pellegrino, Maxi",DEF,COL,4300000,0,0,0,4,5,3,2,6,5,6,8,6,0,45,5
"Ahumada, Oscar",VOL,ALB,4400000,14,14,14,3,0,0,0,0,0,0,0,0,0,45,11.25
"Martínez, Juan M.",DEL,BOC,11000000,12,7,6,0,0,5,5,0,3,7,0,0,0,45,6.43
"Muñoz, Fabián",DEL,NEW,1800000,5,5,12,5,12,0,0,5,0,0,0,0,0,44,7.33
"Galeano, Leonel",DEF,IND,3600000,3,8,0,0,0,0,0,0,5,2,12,8,6,44,6.29
"Aguirre, Nicolás",VOL,ARS,4200000,0,0,0,5,3,0,5,5,0,4,3,7,12,44,5.5
"Guzmán, Nahuel",ARQ,NEW,4800000,5,0,5,0,0,8,9,0,4,4,2,2,5,44,4.89
"Papa, Emiliano",DEF,VEL,5000000,7,6,0,6,0,5,8,5,0,0,0,7,0,44,6.29
"Echeverría, Mariano",DEF,TIG,6100000,0,6,2,4,9,5,2,4,2,0,0,4,6,44,4.4
"Castillo, Luis",DEF,COL,300000,0,0,0,0,0,5,5,5,5,5,8,6,4,43,5.38
"Cubero, Fabián",DEF,VEL,4000000,7,3,0,18,0,1,0,5,4,0,0,5,0,43,6.14
"González, Mariano",VOL,ARS,4600000,0,0,0,0,4,5,5,5,5,4,4,7,4,43,4.78
"Alemán, Brahian",VOL,UNI,2700000,9,6,4,0,0,0,4,0,0,4,5,5,5,42,5.25
"Montero, Fausto",VOL,UNI,2900000,0,5,0,7,4,3,4,2,6,4,5,2,0,42,4.2
"Alderete, Andrés",VOL,SMJ,3000000,6,4,7,1,0,5,4,5,7,2,0,1,0,42,4.2
"García, Javier",ARQ,TIG,4300000,5,9,0,0,8,2,2,0,2,8,0,2,4,42,4.2
"Erviti, Walter",VOL,BOC,9000000,12,0,5,4,0,3,0,3,0,5,0,10,0,42,6
"Pratto, Lucas",DEL,VEL,9800000,17,4,0,0,0,0,5,11,0,0,0,5,0,42,8.4
"Orzán, Horacio",VOL,NEW,2300000,0,2,4,5,3,0,0,11,0,7,5,4,0,41,5.13
"Laba, Matías",VOL,ARG,3200000,3,5,3,5,5,4,7,8,0,1,0,0,0,41,4.56
"Bolaños, Luis",VOL,SMJ,3500000,0,0,0,5,0,0,6,4,6,3,6,5,6,41,5.13
"Carrera, Sebastián",VOL,ATR,4100000,0,0,4,5,5,5,3,14,0,5,0,0,0,41,5.86
"Ponzio, Leonardo",VOL,RIV,6300000,-1,0,5,6,17,2,4,0,5,0,0,3,0,41,5.13
"Trezeguet, David",DEL,RIV,9000000,5,13,5,4,10,0,4,0,0,0,0,0,0,41,6.83
"Bruna, Nicolás",VOL,UNI,2800000,0,0,2,6,5,5,4,0,4,5,4,5,0,40,4.44
"Fernández, Guillermo",VOL,BOC,3000000,5,5,4,0,4,0,6,5,0,4,0,2,5,40,4.44
"Ferro, Raúl",VOL,ATR,3500000,5,6,5,2,4,4,0,2,0,6,0,0,6,40,4.44
"Pozo, Diego",ARQ,COL,4800000,0,5,0,0,2,4,2,4,5,4,9,3,2,40,3.64
"Cisterna, Diego",VOL,TIG,1900000,0,0,4,5,6,5,0,12,0,5,0,2,0,39,5.57
"Caruso, Leandro",DEL,ARG,3500000,0,4,3,0,0,5,6,5,4,0,4,5,3,39,4.33
"Stracqualursi, Denis",DEL,SLO,7600000,5,4,5,11,4,5,4,-2,0,4,-1,0,0,39,3.9
"Soto, Carlos",DEF,ALB,3000000,0,0,5,2,0,4,0,8,3,6,0,8,2,38,4.75
"Villalba, Hernán",VOL,NEW,3400000,1,0,0,6,0,12,6,0,7,6,0,0,0,38,6.33
"Galván, Diego",VOL,UNI,3000000,0,0,0,4,5,0,5,5,6,0,3,5,4,37,4.63
"Alvarez, Cristian O.",DEF,SMJ,3100000,0,0,0,0,0,10,4,5,4,5,5,4,0,37,5.29
